Abkhazia,Abkhazian
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
American Samoa,American Samoan
Andorra,Andorran
Angola,Angolan
Anguilla,Anguillan
Antigua and Barbuda,Antiguan
Argentina,Argentinian
Armenia,Armenian
Aruba,Aruban
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bermuda,Bermudian
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian
Botswana,Motswana
Brazil,Brazilian
British Virgin Islands,British Virgin Island
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Fasoa,Burkinabe
Burmab,Burmese
Burundi,Burundian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cape Verde,Cape Verdean
Cayman Islands,Caymanian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Christmas Island,Christmas Island
Cocos (Keeling) Islands,Cocos Island
Colombia,Colombian
Comoros,Comorian
Republic of the Congo,Congolese
Cook Islands,Cook Island
Costa Rica,Costa Rican
Côte d'Ivoire,Ivorian
Croatia,Croatian
Cuba,Cuban
Curacao,Curacaoan
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominicand
Dominican Republic,Dominicane
East Timor,East Timorese
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoranf
England,England
Equatorial Guinea,Equatorial Guinean
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Falkland Islands,Falkland Island
Faroe Islands,Faroese
Fiji,Fijian
Finland,Finnish
France,French
French Guiana,French Guianese
French Polynesia,French Polynesian
Gabon,Gabonese
Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Gibraltar,Gibraltar
Great Britain,British
Greece,Greek
Greenland,Greenlandic
Grenada,Grenadian
Guadeloupe,Guadeloupe
Guam,Guamanian
Guatemala,Guatemalan
Guernsey,Channel Island
Guinea,Guinean
Guinea-Bissau,Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hong Kong,Hong Kong
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Isle of Man,Manx
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jersey,Channel Island
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kiribati,I-Kiribati
South Korea,South Korean
